Name,Calories,Total Fat,Saturated Fat,Trans Fat,Polyunsaturated Fat,Monounsaturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Vitamin A,Vitamin C
artichokes-(globe-or-french)-(without-salt-drained-cooked-boiled),50,0.16g,0.037g,0,0.068g,0.005g,0mg,95mg,11.18g,5.4g,0.99g,3.48g,0,45mg,1.29mg,354mg,9mcg,10mg
artichokes-(globe-or-french)-(without-salt-frozen-drained-cooked-boiled),45,0.5g,0.117g,0,0.212g,0.015g,0mg,53mg,9.18g,4.6g,0.83g,3.11g,0,21mg,0.56mg,264mg,8mcg,5mg
arrowroot,65,0.2g,0.039g,0,0.092g,0.004g,0mg,26mg,13.39g,1.3g,0,4.24g,0,6mg,2.22mg,454mg,1mcg,1.9mg
artichokes-(globe-or-french)-(with-salt-drained-cooked-boiled),50,0.16g,0.037g,0,0.068g,0.005g,0mg,331mg,11.18g,5.4g,0.99g,3.48g,0,45mg,1.29mg,354mg,9mcg,10mg
artichokes-(globe-or-french)-(with-salt-frozen-drained-cooked-boiled),45,0.5g,0.117g,0,0.212g,0.015g,0mg,289mg,9.18g,4.6g,0.83g,3.11g,0,21mg,0.56mg,264mg,8mcg,5mg
arrowroot-flour,357,0.1g,0.019g,0,0.045g,0.002g,0mg,2mg,88.15g,3.4g,0,0.3g,0,40mg,0.33mg,11mg,0mcg,0mg
ascorbic-acid-added-canned-minced-pork-and-chicken-lite-luncheon-meat-hormel-spam,191,13.9g,4.49g,0,1.47g,7.02g,75mg,1032mg,1.35g,0g,1.26g,15.23g,0,39mg,1.4mg,461mg,0mcg,38.5mg
artichokes-(globe-or-french-unprepared-frozen),38,0.43g,0.099g,0,0.179g,0.012g,0mg,47mg,7.76g,3.9g,0,2.63g,0,19mg,0.5mg,248mg,8mcg,5.3mg
arugula-(rocket),25,0.66g,0.086g,0,0.319g,0.049g,0mg,27mg,3.65g,1.6g,2.05g,2.58g,0,160mg,1.46mg,369mg,119mcg,15mg
artificial-blueberry-muffin-mix-dry,407,8.7g,1.865g,0,1.679g,3.742g,0,760mg,77.45g,0,0,4.7g,0,0,0,0,0,0
artificially-flavored-keebler-golden-vanilla-wafers-keebler,475,19.5g,3.58g,0,0,0,0,386mg,69.7g,0,27.4g,5.2g,0,0,0,0,0,0
ascidians-(tunughnak)-(alaska-native),29,0.5g,0.1g,0,0.2g,0.12g,7mg,656mg,2.2g,0,0,3.8g,0,47mg,3.3mg,102mg,0,0mg
asian-pears,42,0.23g,0.012g,0,0.055g,0.049g,0mg,0mg,10.65g,3.6g,7.05g,0.5g,0,4mg,0mg,121mg,0mcg,3.8mg
asparagus,20,0.12g,0.046g,0,0.088g,0.006g,0mg,2mg,3.88g,2.1g,1.88g,2.2g,0,24mg,2.14mg,202mg,38mcg,5.6mg
asparagus-(drained-cooked-boiled),22,0.22g,0.071g,0,0.136g,0.01g,0mg,14mg,4.11g,2g,1.3g,2.4g,0,23mg,0.91mg,224mg,50mcg,7.7mg
asparagus-(solids-and-liquids-canned),15,0.18g,0.044g,0,0.085g,0.006g,0mg,284mg,2.47g,1g,0,1.8g,0,15mg,0.6mg,172mg,26mcg,16.5mg
asparagus-(drained-solids-canned),19,0.65g,0.147g,0,0.284g,0.021g,0mg,287mg,2.46g,1.6g,1.06g,2.14g,0,16mg,1.83mg,172mg,41mcg,18.4mg
asparagus-(no-salt-added-solids-and-liquids-canned),15,0.18g,0.041g,0,0.079g,0.006g,0mg,26mg,2.48g,1g,1g,1.8g,0,15mg,0.6mg,172mg,39mcg,16.5mg
assorted-flavors-kashi-pillows-by-kellogg-cereals-ready-to-eat,370,2.4g,0,0,0,0,0mg,91mg,84.5g,3.6g,34.5g,5.9g,0,36mg,1.3mg,509mg,0,0
asparagus-(unprepared-frozen),24,0.23g,0.052g,0,0.101g,0.007g,0mg,8mg,4.1g,1.9g,0,3.23g,0,25mg,0.73mg,253mg,47mcg,31.8mg
asparagus-(without-salt-frozen-drained-cooked-boiled),18,0.42g,0.095g,0,0.184g,0.013g,0mg,3mg,1.92g,1.6g,0.32g,2.95g,0,18mg,0.56mg,172mg,40mcg,24.4mg
asparagus-(with-salt-drained-cooked-boiled),22,0.22g,0.071g,0,0.136g,0.01g,0mg,240mg,4.11g,2g,1.3g,2.4g,0,23mg,0.91mg,224mg,50mcg,7.7mg
asparagus-(with-salt-frozen-drained-cooked-boiled),18,0.42g,0.095g,0,0.184g,0.013g,0mg,240mg,1.92g,1.6g,0.32g,2.95g,0,18mg,0.56mg,172mg,40mcg,24.4mg
atlantic-cod,82,0.67g,0.131g,0,0.231g,0.094g,43mg,54mg,0g,0g,0g,17.81g,1mcg,16mg,0.38mg,413mg,12mcg,1mg
atlantic-and-pacific-halibut,110,2.29g,0.325g,0,0.73g,0.75g,32mg,54mg,0g,0g,0g,20.81g,0,47mg,0.84mg,450mg,47mcg,0mg
atlantic-and-pacific-halibut-(fish)-(cooked-dry-heat),140,2.94g,0.417g,0,0.94g,0.967g,41mg,69mg,0g,0g,0,26.69g,0,60mg,1.07mg,576mg,54mcg,0mg
atlantic-cod-(cooked-dry-heat),105,0.86g,0.168g,0,0.292g,0.124g,55mg,78mg,0g,0g,0g,22.83g,0,14mg,0.49mg,244mg,14mcg,1mg
atlantic-cod-(solids-and-liquids-canned),105,0.86g,0.167g,0,0.291g,0.124g,55mg,218mg,0g,0g,0g,22.76g,2mcg,21mg,0.49mg,528mg,14mcg,1mg
atlantic-croaker,104,3.17g,1.088g,0,0.464g,1.149g,61mg,56mg,0g,0g,0g,17.78g,0,15mg,0.37mg,345mg,18mcg,0mg
atlantic-croaker-(cooked-bread-and-fried),221,12.67g,3.476g,0,2.917g,5.32g,84mg,348mg,7.54g,0.4g,0,18.2g,0,32mg,0.86mg,340mg,23mcg,0mg
atlantic-herring,158,9.04g,2.04g,0,2.133g,3.736g,60mg,90mg,0g,0g,0g,17.96g,41mcg,57mg,1.1mg,327mg,28mcg,0.7mg
atlantic-herring-(cooked-dry-heat),203,11.59g,2.615g,0,2.735g,4.79g,77mg,115mg,0g,0g,0g,23.03g,0,74mg,1.41mg,419mg,36mcg,0.7mg
atlantic-mackerel,205,13.89g,3.257g,0,3.35g,5.456g,70mg,90mg,0g,0g,0g,18.6g,9mcg,12mg,1.63mg,314mg,50mcg,0.4mg
atlantic-mackerel-(cooked-dry-heat),262,17.81g,4.176g,0,4.3g,7.006g,75mg,83mg,0g,0g,0,23.85g,0,15mg,1.57mg,401mg,54mcg,0.4mg
atlantic-ocean-perch,94,1.63g,0.244g,0,0.427g,0.625g,42mg,75mg,0g,0g,0g,18.62g,0,107mg,0.92mg,273mg,12mcg,0.8mg
atlantic-ocean-perch-(cooked-dry-heat),121,2.09g,0.313g,0,0.547g,0.801g,54mg,96mg,0g,0g,0,23.88g,0,137mg,1.18mg,350mg,14mcg,0.8mg
atlantic-pollock-(fish),92,0.98g,0.135g,0,0.483g,0.112g,71mg,86mg,0g,0g,0g,19.44g,0,60mg,0.46mg,356mg,11mcg,0mg
atlantic-pollock-(fish)-(cooked-dry-heat),118,1.26g,0.17g,0,0.622g,0.143g,91mg,110mg,0g,0g,0,24.92g,0,77mg,0.59mg,456mg,12mcg,0mg
au-gratin-potatoes-(using-butter),132,7.59g,4.733g,0,0.276g,2.149g,23mg,433mg,11.27g,1.8g,0,5.06g,0,119mg,0.64mg,396mg,64mcg,9.9mg
au-gratin-potatoes-(dry-mix),314,3.7g,2.323g,0,0.121g,1.055g,0,2095mg,74.31g,4.1g,0,8.9g,0,311mg,1.63mg,990mg,54mcg,15.5mg
au-gratin-potatoes-(dry-mix-prepared-with-water-whole-milk-and-butter),93,4.12g,2.586g,0,0.134g,1.175g,15mg,439mg,12.84g,0.9g,0,2.3g,0,83mg,0.32mg,219mg,52mcg,3.1mg
au-gatin-potatoes-(using-margarine),132,7.59g,3.53g,0,1.076g,2.587g,15mg,433mg,11.27g,1.8g,0,5.06g,0,119mg,0.64mg,396mg,64mcg,9.9mg
atlantic-sardine-(drained-solids-with-bone-in-oil-canned),208,11.45g,1.528g,0,5.148g,3.869g,142mg,505mg,0g,0g,0g,24.62g,7mcg,382mg,2.92mg,397mg,32mcg,0mg
atlantic-wolfish,96,2.39g,0.365g,0,0.845g,0.837g,46mg,85mg,0g,0g,0,17.5g,0,6mg,0.09mg,300mg,113mcg,0mg
atlantic-wolfish-(cooked-dry-heat),123,3.06g,0.468g,0,1.083g,1.072g,59mg,109mg,0g,0g,0,22.44g,0,8mg,0.12mg,385mg,130mcg,0mg
atlantic-salmon-(farmed),183,10.85g,2.183g,0,3.931g,3.868g,59mg,59mg,0g,0g,0,19.9g,0,12mg,0.36mg,362mg,15mcg,3.9mg
au-jus-gravy-(canned),16,0.2g,0.1g,0,0.01g,0.08g,0mg,50mg,2.5g,0g,0,1.2g,0,4mg,0.6mg,81mg,0mcg,1mg
au-jus-gravy-(dry),313,9.63g,2.026g,0,0.23g,4.683g,4mg,11588mg,47.49g,0,0,9.2g,0,140mg,9.3mg,279mg,1mcg,1mg
australian-lamb-(trimmed-to-1-8-fat),229,16.97g,8.189g,0,0.718g,6.91g,66mg,74mg,0g,0,0,17.84g,0,13mg,1.43mg,284mg,0,0
australian-lamb-(lean-only-trimmed-to-1-8-fat),142,6.18g,2.54g,0,0.276g,2.53g,64mg,83mg,0g,0,0,20.25g,0,12mg,1.59mg,320mg,0,0
australian-lamb-(lean-only-trimmed-to-1-8-fat-cooked),201,9.63g,4.048g,0,0.418g,3.857g,87mg,80mg,0g,0,0,26.71g,0,16mg,2.05mg,318mg,0,0
aunt-beas-pound-cake-cookie-archway-home-style-cookies,402,15.64g,3.85g,0,1.17g,5.87g,57mg,319mg,60.66g,1g,32.12g,5.17g,0,37mg,2.06mg,81mg,0,0mg
australian-lamb-(trimmed-to-1-8-fat-cooked),256,16.82g,7.94g,0,0.66g,6.711g,87mg,76mg,0g,0,0,24.52g,0,17mg,1.93mg,301mg,0,0
australian-lamb-fat,648,68.87g,35.353g,0,2.844g,27.975g,77mg,33mg,0g,0,0,6.27g,0,19mg,0.63mg,112mg,0,0
australian-lamb-fat-(cooked),639,66.4g,34.751g,0,2.331g,26.377g,83mg,51mg,0g,0,0,9.42g,0,27mg,1.11mg,179mg,0,0
australian-lamb-foreshank-(trimmed-to-1-8-fat),195,12.68g,5.981g,0,0.596g,5.293g,67mg,96mg,0g,0,0,18.85g,0,12mg,1.38mg,270mg,0,0
australian-lamb-foreshank-(lean-only-trimmed-to-1-8-fat),123,3.81g,1.344g,0,0.241g,1.712g,66mg,106mg,0g,0,0,20.83g,0,11mg,1.5mg,295mg,0,0
australian-lamb-foreshank-(lean-only-trimmed-to-1-8-fat-cooked-braised),165,5.22g,1.884g,0,0.294g,2.338g,92mg,100mg,0g,0,0,27.5g,0,14mg,1.91mg,255mg,0,0
australian-lamb-foreshank-(trimmed-to-1-8-fat-cooked-braised),236,14.44g,6.794g,0,0.601g,5.959g,91mg,93mg,0g,0,0,24.78g,0,16mg,1.79mg,244mg,0,0
australian-lamb-leg-(shank-half-trimmed-to-1-8-fat),201,13.48g,6.389g,0,0.57g,5.549g,66mg,75mg,0g,0,0,18.59g,0,9mg,1.48mg,301mg,0,0
australian-lamb-leg-(shank-half-lean-only-trimmed-to-1-8-fat),133,5.1g,2.008g,0,0.246g,2.157g,64mg,81mg,0g,0,0,20.45g,0,7mg,1.61mg,329mg,0,0
australian-lamb-leg-(shank-half-lean-only-trimmed-to-1-8-fat-cooked-roasted),182,7.27g,2.918g,0,0.348g,3.021g,83mg,69mg,0g,0,0,27.18g,0,8mg,2.13mg,329mg,0,0
australian-lamb-leg-(center-slice-bone-in-trimmed-to-1-8-fat),195,12.56g,5.813g,0,0.591g,5.146g,65mg,61mg,0g,0,0,19.17g,0,10mg,1.81mg,318mg,0,0
australian-lamb-leg-(center-slice-bone-in-trimmed-to-1-8-fat-cooked-broiled),215,11.78g,5.32g,0,0.526g,4.755g,85mg,65mg,0g,0,0,25.54g,0,14mg,2.38mg,342mg,0,0
australian-lamb-leg-(center-slice-bone-in-lean-only-trimmed-to-1-8-fat),143,6.08g,2.413g,0,0.331g,2.519g,64mg,64mg,0g,0,0,20.65g,0,9mg,1.94mg,342mg,0,0
australian-lamb-leg-(center-slice-bone-in-lean-only-trimmed-to-1-8-fat-cooked-broiled),183,7.68g,3.111g,0,0.39g,3.129g,85mg,66mg,0g,0,0,26.75g,0,13mg,2.48mg,354mg,0,0
australian-lamb-leg-(shank-half-trimmed-to-1-8-fat-cooked-roasted),231,13.69g,6.341g,0,0.563g,5.554g,83mg,67mg,0g,0,0,25.25g,0,10mg,2.01mg,313mg,0,0
australian-lamb-leg-(sirloin-half-boneless-lean-only-trimmed-to-1-8-fat),138,5.64g,2.308g,0,0.267g,2.293g,63mg,80mg,0g,0,0,20.48g,0,10mg,1.75mg,328mg,0,0
australian-lamb-leg-(sirloin-chops-boneless-trimmed-to-1-8-fat),208,14.38g,6.898g,0,0.649g,5.878g,66mg,59mg,0g,0,0,18.33g,0,11mg,1.75mg,308mg,0,0
australian-lamb-leg-(sirloin-chops-boneless-trimmed-to-1-8-fat-cooked-broiled),235,13.83g,6.414g,0,0.595g,5.567g,85mg,64mg,0g,0,0,25.75g,0,14mg,2.34mg,336mg,0,0
australian-lamb-leg-(sirloin-chops-boneless-lean-only-trimmed-to-1-8-fat),132,4.91g,1.948g,0,0.267g,2.034g,64mg,64mg,0g,0,0,20.43g,0,9mg,1.94mg,342mg,0,0
australian-lamb-leg-(sirloin-chops-boneless-lean-only-trimmed-to-1-8-fat-cooked-broiled),188,7.8g,3.159g,0,0.396g,3.177g,85mg,66mg,0g,0,0,27.63g,0,13mg,2.48mg,354mg,0,0
australian-lamb-leg-(sirloin-half-boneless-lean-only-trimmed-to-1-8-fat-cooked-roasted),215,10.65g,4.508g,0,0.482g,4.182g,105mg,83mg,0g,0,0,27.75g,0,13mg,2.24mg,318mg,0,0
australian-lamb-leg-(sirloin-half-boneless-trimmed-to-1-8-fat),254,20g,9.754g,0,0.823g,8.101g,66mg,70mg,0g,0,0,17.25g,0,12mg,1.5mg,279mg,0,0
australian-lamb-leg-(whole-(shank-and-sirloin)-trimmed-to-1-8-fat),215,15.19g,7.288g,0,0.657g,6.226g,66mg,73mg,0g,0,0,18.24g,0,10mg,1.48mg,295mg,0,0
australian-lamb-leg-(whole-(shank-and-sirloin)-lean-only-trimmed-to-1-8-fat),135,5.23g,2.081g,0,0.251g,2.19g,64mg,81mg,0g,0,0,20.46g,0,8mg,1.64mg,329mg,0,0
australian-lamb-leg-(whole-(shank-and-sirloin)-lean-only-trimmed-to-1-8-fat-cooked-roasted),190,8.1g,3.297g,0,0.38g,3.304g,89mg,72mg,0g,0,0,27.31g,0,9mg,2.15mg,326mg,0,0
australian-lamb-leg-(sirloin-half-boneless-trimmed-to-1-8-fat-cooked-roasted),281,19.38g,9.245g,0,0.771g,7.658g,102mg,78mg,0g,0,0,24.88g,0,15mg,2.06mg,297mg,0,0
australian-lamb-leg-(whole-(shank-and-sirloin)-trimmed-to-1-8-fat-cooked-roasted),244,15.13g,7.091g,0,0.615g,6.087g,88mg,70mg,0g,0,0,25.16g,0,11mg,2.03mg,309mg,0,0
australian-lamb-loin-(trimmed-to-1-8-fat),203,13.38g,6.401g,0,0.54g,5.374g,66mg,70mg,0g,0,0,19.32g,0,15mg,1.66mg,302mg,0,0
australian-lamb-loin-(trimmed-to-1-8-fat-cooked-broiled),219,12.25g,5.572g,0,0.486g,4.888g,82mg,78mg,0g,0,0,25.49g,0,21mg,2.12mg,331mg,0,0
australian-lamb-loin-(lean-only-trimmed-to-1-8-fat),146,6.24g,2.673g,0,0.261g,2.463g,64mg,75mg,0g,0,0,21g,0,15mg,1.79mg,327mg,0,0
australian-lamb-loin-(lean-only-trimmed-to-1-8-fat-cooked-broiled),192,8.75g,3.687g,0,0.367g,3.499g,81mg,80mg,0g,0,0,26.53g,0,21mg,2.18mg,340mg,0,0
australian-lamb-ribs-(trimmed-to-1-8-fat),289,24.2g,11.925g,0,0.985g,9.765g,68mg,68mg,0g,0,0,16.46g,0,13mg,1.34mg,254mg,0,0
australian-lamb-ribs-(lean-only-trimmed-to-1-8-fat),160,8.2g,3.533g,0,0.32g,3.242g,66mg,81mg,0g,0,0,20.12g,0,10mg,1.59mg,305mg,0,0
australian-lamb-ribs-(lean-only-trimmed-to-1-8-fat-cooked-roasted),210,11.6g,5.072g,0,0.429g,4.503g,80mg,82mg,0g,0,0,24.63g,0,15mg,1.78mg,302mg,0,0
australian-lamb-ribs-(trimmed-to-1-8-fat-cooked-roasted),277,20.21g,9.734g,0,0.728g,7.94g,80mg,77mg,0g,0,0,22.24g,0,17mg,1.67mg,282mg,0,0
australian-lamb-shoulder-arm-and-blade-(lean-only-trimmed-to-1-8-fat),155,8.01g,3.355g,0,0.323g,3.214g,64mg,88mg,0g,0,0,19.36g,0,18mg,1.42mg,306mg,0,0
australian-lamb-shoulder-arm-(trimmed-to-1-8-fat),243,18.89g,9.125g,0,0.777g,7.697g,65mg,72mg,0g,0,0,17.06g,0,16mg,1.35mg,281mg,0,0
australian-lamb-shoulder-arm-(trimmed-to-1-8-fat-cooked-braised),311,20.38g,9.696g,0,0.83g,8.173g,106mg,73mg,0g,0,0,29.7g,0,27mg,2.42mg,268mg,0,0
australian-lamb-shoulder-arm-(lean-only-trimmed-to-1-8-fat),137,5.81g,2.335g,0,0.27g,2.424g,62mg,83mg,0g,0,0,19.88g,0,15mg,1.54mg,325mg,0,0
australian-lamb-shoulder-arm-(lean-only-trimmed-to-1-8-fat-cooked-braised),238,10.23g,4.173g,0,0.499g,4.16g,111mg,78mg,0g,0,0,34.17g,0,27mg,2.71mg,287mg,0,0
babassu-vegetable-oil,884,100g,81.2g,0,1.6g,11.4g,0mg,0mg,0g,0g,0g,0g,0,0mg,0mg,0mg,0mcg,0mg
baby-carrots,35,0.13g,0.023g,0,0.065g,0.007g,0mg,78mg,8.24g,1.8g,4.76g,0.64g,0,32mg,0.89mg,237mg,690mcg,8.4mg
baby-lima-beans-(immature-seeds-frozen),132,0.44g,0.102g,0,0.216g,0.026g,0mg,52mg,25.13g,6g,0,7.59g,0,35mg,2.21mg,452mg,9mcg,8.3mg
baby-lima-beans-(mature-seeds),335,0.93g,0.219g,0,0.42g,0.084g,0mg,13mg,62.83g,20.6g,8.32g,20.62g,0,81mg,6.19mg,1403mg,0mcg,0mg
baby-lima-beans-(mature-seeds-without-salt-cooked-boiled),126,0.38g,0.088g,0,0.169g,0.034g,0mg,3mg,23.31g,7.7g,0,8.04g,0,29mg,2.4mg,401mg,0mcg,0mg
baby-lima-beans-(mature-seeds-with-salt-cooked-boiled),126,0.38g,0.088g,0,0.169g,0.034g,0mg,239mg,23.31g,7.7g,0,8.04g,0,29mg,2.4mg,401mg,0mcg,0mg
bacon-(cured),458,45.04g,14.993g,0g,5.034g,20.047g,68mg,833mg,0.66g,0g,0g,11.6g,0,6mg,0.48mg,208mg,11mcg,0mg
bacon-(cured-broiled-pan-fried-or-roasted-cooked),541,41.78g,13.739g,0g,4.747g,18.52g,110mg,2310mg,1.43g,0g,0g,37.04g,0,11mg,1.44mg,565mg,11mcg,0mg
bacon-(cured-baked-cooked),548,43.27g,14.187g,0g,4.649g,19.065g,107mg,2193mg,1.35g,0g,0g,35.73g,0,10mg,1.49mg,539mg,11mcg,0mg
bacon-(cured-microwaved-cooked),505,37.27g,12.102g,0g,4.194g,16.336g,117mg,2073mg,1.05g,0g,0g,38.62g,0,11mg,1.28mg,498mg,11mcg,0mg
bacon-(cured-pan-fried-cooked),533,40.3g,13.291g,0g,4.447g,17.976g,113mg,2428mg,1.5g,0g,0g,38.34g,0,12mg,1.38mg,591mg,11mcg,0mg
baby-zucchini,21,0.4g,0.083g,0,0.169g,0.031g,0mg,3mg,3.11g,1.1g,0,2.71g,0,21mg,0.79mg,459mg,25mcg,34.1mg
baby-ruth-bar-nestle-candies,464,25g,12.3g,0,3.304g,6.456g,2mg,214mg,61.8g,2.4g,46.4g,7.1g,0,45mg,0.7mg,356mg,0mcg,0.1mg
bacon-(cured-reduced-sodium-broiled-pan-fried-or-roasted-cooked),541,41.78g,13.739g,0g,4.747g,18.52g,110mg,1030mg,1.43g,0g,0g,37.04g,0,11mg,1.44mg,565mg,11mcg,0mg
bacon-grease,897,99.5g,39.004g,0,11.144g,44.874g,95mg,150mg,0g,0g,0g,0g,0,0mg,0mg,0mg,0mcg,0mg
bacon-and-beef-sticks,517,44.2g,16g,0,4.3g,21.9g,102mg,1420mg,0.8g,0g,0.8g,29.1g,0,14mg,1.86mg,385mg,0mcg,0mg
bacon-fat-(cooked),898,99.5g,31.991g,0g,10.535g,41.435g,97mg,27mg,0g,0g,0g,0.07g,0,1mg,0.13mg,15mg,11mcg,0mg
bacon-ranch-salad-with-grilled-chicken-mcdonalds,76,3.29g,1.287g,0.107g,0.377g,1.091g,28mg,305mg,3.74g,1.1g,1.7g,9.97g,0,48mg,0.68mg,0,0,10.2mg
bacon-ranch-salad-with-crispy-chicken-mcdonalds,106,5.84g,1.673g,0.473g,1.146g,1.73g,21mg,326mg,7.2g,1g,1.5g,8.61g,0,47mg,0.64mg,0,0,9.8mg
bacon-and-tomato-salad-dressing,326,35g,5.435g,0,19.584g,8.415g,4mg,1084mg,2g,0.2g,2g,1.8g,0,4mg,0.27mg,108mg,11mcg,8.8mg
bacon-ranch-salad-without-chicken-mcdonalds,61,3.64g,1.507g,0.111g,0.327g,1.057g,12mg,132mg,4.2g,1.5g,2.14g,4.14g,0,63mg,0.67mg,201mg,0,13.5mg
bagels-(includes-onion-poppy-sesame)-(enriched-with-calcium-propionate),257,1.62g,0.393g,0g,0.64g,0.521g,0mg,448mg,50.5g,2.2g,5.05g,10.02g,0,89mg,6.05mg,75mg,0mcg,1mg
bagged-cereal-fruity-brontosaurus-blasts-quaker-cereals-ready-to-eat,376,2.45g,0.23g,0,0.23g,1.88g,0mg,590mg,89.27g,1.4g,43.95g,3.75g,4mcg,5mg,9.58mg,49mg,805mcg,28mg
bagels-(includes-onion-poppy-sesame)-(without-calcium-propionate-enriched),275,1.6g,0.22g,0,0.696g,0.131g,0mg,534mg,53.4g,2.3g,0,10.5g,0,18mg,3.56mg,101mg,0mcg,0mg
bagels-(includes-onion-poppy-sesame)-(with-calcium-propionate),275,1.6g,0.22g,0,0.696g,0.131g,0mg,534mg,53.4g,2.3g,0,10.5g,0,74mg,1.36mg,101mg,0mcg,0mg
bagels-(includes-onion-poppy-sesame)-(without-calcium-propionate),275,1.6g,0.22g,0,0.696g,0.131g,0mg,534mg,53.4g,2.3g,0,10.5g,0,18mg,1.36mg,101mg,0mcg,0mg
baked-beans,151,5.15g,1.948g,0,0.74g,2.133g,5mg,422mg,21.39g,5.5g,0,5.54g,0,61mg,1.99mg,358mg,0mcg,1.1mg
baked-beans-with-beef-(canned),121,3.45g,1.677g,0,0.205g,1.385g,22mg,475mg,16.91g,0,0,6.38g,0,45mg,1.6mg,320mg,11mcg,1.8mg
baked-beans-with-franks-(canned),142,6.57g,2.352g,0,0.836g,2.83g,6mg,430mg,15.39g,6.9g,6.53g,6.75g,0,48mg,1.73mg,235mg,4mcg,2.3mg
baked-beans-with-pork-(canned),106,1.55g,0.599g,0,0.199g,0.673g,7mg,414mg,19.98g,5.5g,0,5.19g,0,53mg,1.7mg,309mg,9mcg,2mg
baked-beans-with-pork-and-sweet-sauce-(canned),112,1.44g,0.502g,0g,0.37g,0.494g,7mg,334mg,21.12g,4.2g,8.56g,5.29g,0,59mg,1.65mg,258mg,0mcg,2.8mg
baked-beans-with-pork-and-tomato-sauce-(canned),94,0.93g,0.258g,0,0.138g,0.476g,7mg,437mg,18.69g,4g,5.67g,5.15g,0,56mg,3.24mg,295mg,4mcg,3mg
baked-apple-pie-mcdonalds,323,15.66g,3.995g,6.126g,1.038g,9.183g,0,199mg,43.62g,2g,17.25g,3.07g,0,19mg,1.99mg,63mg,0,32.3mg
baked-beans-(no-salt-added-canned),105,0.4g,0.103g,0,0.172g,0.035g,0mg,1mg,20.61g,5.5g,7.32g,4.8g,0,50mg,0.29mg,296mg,5mcg,3.1mg
baked-cooked-96%25-fat-free)-ham-(water-added-oscar-mayer,104,3.52g,0.851g,0,1.314g,1.165g,48mg,1242mg,1.83g,0g,1g,16.3g,0,10mg,1.3mg,268mg,0mcg,0mg
baked-nabisco-wheat-thins-crackers-nabisco,470,20g,3.19g,0,1.24g,7g,0mg,578mg,69.1g,3g,9g,8.3g,0,80mg,3.7mg,194mg,0,0mg
baked-potato-topped-with-cheese-sauce,160,9.71g,3.567g,0,2.042g,3.615g,6mg,129mg,15.71g,0,0,4.94g,0,105mg,1.02mg,394mg,85mcg,8.8mg
baked-potato-topped-with-cheese-sauce-and-bacon,151,8.66g,3.389g,0,1.589g,3.249g,10mg,325mg,14.86g,0,0,6.16g,0,103mg,1.05mg,394mg,63mcg,9.6mg
baked-potato-topped-with-cheese-sauce-and-broccoli,119,6.32g,2.511g,0,1.232g,2.265g,6mg,143mg,13.74g,0,0,4.03g,0,99mg,0.98mg,425mg,79mcg,14.3mg
baked-potato-topped-with-cheese-sauce-and-chili,122,5.53g,3.3g,0,0.227g,1.731g,8mg,177mg,14.14g,0,0,5.88g,0,104mg,1.55mg,398mg,47mcg,8mg
baked-potato-topped-with-sour-cream-and-chives,130,7.39g,3.315g,0,1.098g,2.607g,8mg,60mg,16.56g,0,0,2.21g,0,35mg,1.03mg,458mg,88mcg,11.2mg
baked-refrigerated-dough-sugar-cookies,484,23.1g,5.906g,0,2.891g,13.01g,32mg,468mg,65.6g,0.8g,23.96g,4.7g,0,90mg,1.84mg,163mg,12mcg,0mg
bakers-yeast-(compressed),105,1.9g,0.243g,0,0.004g,1.047g,0mg,30mg,18.1g,8.1g,0g,8.4g,0,19mg,3.25mg,601mg,0mcg,0.1mg
bakers-yeast-(active-dry),295,4.6g,0.595g,0,0.01g,2.562g,0mg,50mg,38.2g,21g,0g,38.3g,0,64mg,16.6mg,2000mg,0mcg,0.3mg
baking-chocolate-liquid,472,47.7g,25.29g,0,10.7g,9.23g,0mg,12mg,33.9g,18.1g,0g,12.1g,0,54mg,4.15mg,1166mg,1mcg,0mg
baking-chocolate-mexican-squares,426,15.59g,8.606g,0,1.162g,5.044g,0mg,3mg,77.41g,4g,69.4g,3.64g,0,34mg,2.18mg,397mg,0mcg,0.1mg
balsam-pear-(bitter-gourd)-(leafy-tips-without-salt-drained-cooked-boiled),35,0.2g,0.032g,0,0.083g,0.005g,0mg,13mg,6.78g,1.9g,1.04g,3.6g,0,42mg,1.02mg,602mg,121mcg,55.6mg
balsam-pear-(bitter-gourd)-(leafy-tips-with-salt-drained-cooked-boiled),35,0.2g,0,0,0,0,0mg,249mg,6.78g,1.9g,1.04g,3.6g,0,42mg,1.02mg,602mg,121mcg,55.6mg
balsam-pear-(bitter-gourd)-(pods-with-salt-drained-cooked-boiled),19,0.18g,0,0,0,0,0mg,242mg,4.32g,2g,1.95g,0.84g,0,9mg,0.38mg,319mg,6mcg,33mg
baking-powder-(sodium-aluminum-sulfate-double-acting),53,0g,0g,0,0g,0g,0mg,10600mg,27.7g,0.2g,0g,0g,0,5876mg,11.02mg,20mg,0mcg,0mg
baking-powder-(straight-phosphate-double-acting),51,0g,0g,0,0g,0g,0mg,7893mg,24.1g,0.2g,0g,0.1g,0,7364mg,11.27mg,5mg,0mcg,0mg
baking-powder-(low-sodium),97,0.4g,0.073g,0,0.121g,0.006g,0mg,90mg,46.9g,2.2g,0g,0.1g,0,4332mg,8.17mg,10100mg,0mcg,0mg
